date,description,counterparty,debit,credit,balance,sourceAccount
2026-07-28,account maintenance fee 07/2026,,1761,,152006583,0234567890
2026-07-28,value added tax from corporate branch,,132,,152006451,0234567890
2026-07-29,outward transfer (n) 887 to first bank | bigco logistics services /000023,,1200000,,150806451,0234567890
2026-08-03,inward transfer (n) 49628 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_8/000015260409115119000002024421,,,23575000,174381451,0234567890
2026-08-06,outward transfer (n) 1512281 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512281,,500000,,173881451,0234567890
2026-08-06,nip transfer commission 1512281 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,173881401,0234567890
2026-08-06,stamp duty 1512281 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,173881351,0234567890
2026-08-06,vat on nip transfer fee 1512281 to guaranty trust bank plc,,4,,173881347,0234567890
2026-08-07,outward transfer (n) 1512282 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512282,,500000,,173381347,0234567890
2026-08-07,nip transfer commission 1512282 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,173381297,0234567890
2026-08-07,stamp duty 1512282 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,173381247,0234567890
2026-08-07,vat on nip transfer fee 1512282 to guaranty trust bank plc,,4,,173381243,0234567890
2026-08-08,outward transfer (n) 1512283 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512283,,500000,,172881243,0234567890
2026-08-08,nip transfer commission 1512283 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172881193,0234567890
2026-08-08,stamp duty 1512283 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172881143,0234567890
2026-08-08,vat on nip transfer fee 1512283 to guaranty trust bank plc,,4,,172881139,0234567890
2026-08-11,nip transfer commission 2900281 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172881089,0234567890
2026-08-12,nip transfer commission 2900282 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172881039,0234567890
2026-08-13,nip transfer commission 2900283 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880989,0234567890
2026-08-14,nip transfer commission 2900284 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880939,0234567890
2026-08-15,nip transfer commission 2900285 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880889,0234567890
2026-08-16,nip transfer commission 2900286 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880839,0234567890
2026-08-17,nip transfer commission 2900287 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880789,0234567890
2026-08-18,nip transfer commission 2900288 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880739,0234567890
2026-08-19,nip transfer commission 2900289 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880689,0234567890
2026-08-20,nip transfer commission 29002810 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880639,0234567890
2026-08-21,nip transfer commission 29002811 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880589,0234567890
2026-08-22,nip transfer commission 29002812 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880539,0234567890
2026-08-23,nip transfer commission 29002813 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880489,0234567890
2026-08-24,nip transfer commission 29002814 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,172880439,0234567890
2026-08-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,172838037,0234567890
2026-08-27,sms alert charge for 08/2026,,200,,172837837,0234567890
2026-08-28,account maintenance fee 08/2026,,1761,,172836076,0234567890
2026-08-28,value added tax from corporate branch,,132,,172835944,0234567890
2026-08-29,outward transfer (n) 888 to first bank | bigco logistics services /000023,,1200000,,171635944,0234567890
2026-09-03,inward transfer (n) 49629 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_9/000015260409115119000002024421,,,23575000,195210944,0234567890
2026-09-06,outward transfer (n) 1512291 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512291,,500000,,194710944,0234567890
2026-09-06,nip transfer commission 1512291 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,194710894,0234567890
2026-09-06,stamp duty 1512291 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,194710844,0234567890
2026-09-06,vat on nip transfer fee 1512291 to guaranty trust bank plc,,4,,194710840,0234567890
2026-09-07,outward transfer (n) 1512292 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512292,,500000,,194210840,0234567890
2026-09-07,nip transfer commission 1512292 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,194210790,0234567890
2026-09-07,stamp duty 1512292 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,194210740,0234567890
2026-09-07,vat on nip transfer fee 1512292 to guaranty trust bank plc,,4,,194210736,0234567890
2026-09-08,outward transfer (n) 1512293 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512293,,500000,,193710736,0234567890
2026-09-08,nip transfer commission 1512293 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710686,0234567890
2026-09-08,stamp duty 1512293 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710636,0234567890
2026-09-08,vat on nip transfer fee 1512293 to guaranty trust bank plc,,4,,193710632,0234567890
2026-09-11,nip transfer commission 2900291 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710582,0234567890
2026-09-12,nip transfer commission 2900292 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710532,0234567890
2026-09-13,nip transfer commission 2900293 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710482,0234567890
2026-09-14,nip transfer commission 2900294 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710432,0234567890
2026-09-15,nip transfer commission 2900295 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710382,0234567890
2026-09-16,nip transfer commission 2900296 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710332,0234567890
2026-09-17,nip transfer commission 2900297 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710282,0234567890
2026-09-18,nip transfer commission 2900298 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710232,0234567890
2026-09-19,nip transfer commission 2900299 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710182,0234567890
2026-09-20,nip transfer commission 29002910 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710132,0234567890
2026-09-21,nip transfer commission 29002911 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710082,0234567890
2026-09-22,nip transfer commission 29002912 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193710032,0234567890
2026-09-23,nip transfer commission 29002913 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193709982,0234567890
2026-09-24,nip transfer commission 29002914 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,193709932,0234567890
2026-09-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,193667530,0234567890
2026-09-27,sms alert charge for 09/2026,,200,,193667330,0234567890
2026-09-28,account maintenance fee 09/2026,,1761,,193665569,0234567890
2026-09-28,value added tax from corporate branch,,132,,193665437,0234567890
2026-09-29,outward transfer (n) 889 to first bank | bigco logistics services /000023,,1200000,,192465437,0234567890
2026-10-03,inward transfer (n) 496210 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_10/000015260409115119000002024421,,,23575000,216040437,0234567890
2026-10-06,outward transfer (n) 15122101 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122101,,500000,,215540437,0234567890
2026-10-06,nip transfer commission 15122101 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,215540387,0234567890
2026-10-06,stamp duty 15122101 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,215540337,0234567890
2026-10-06,vat on nip transfer fee 15122101 to guaranty trust bank plc,,4,,215540333,0234567890
2026-10-07,outward transfer (n) 15122102 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122102,,500000,,215040333,0234567890
2026-10-07,nip transfer commission 15122102 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,215040283,0234567890
2026-10-07,stamp duty 15122102 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,215040233,0234567890
2026-10-07,vat on nip transfer fee 15122102 to guaranty trust bank plc,,4,,215040229,0234567890
2026-10-08,outward transfer (n) 15122103 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122103,,500000,,214540229,0234567890
2026-10-08,nip transfer commission 15122103 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214540179,0234567890
2026-10-08,stamp duty 15122103 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214540129,0234567890
2026-10-08,vat on nip transfer fee 15122103 to guaranty trust bank plc,,4,,214540125,0234567890
2026-10-11,nip transfer commission 29002101 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214540075,0234567890
2026-10-12,nip transfer commission 29002102 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214540025,0234567890
2026-10-13,nip transfer commission 29002103 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539975,0234567890
2026-10-14,nip transfer commission 29002104 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539925,0234567890
2026-10-15,nip transfer commission 29002105 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539875,0234567890
2026-10-16,nip transfer commission 29002106 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539825,0234567890
2026-10-17,nip transfer commission 29002107 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539775,0234567890
2026-10-18,nip transfer commission 29002108 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539725,0234567890
2026-10-19,nip transfer commission 29002109 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539675,0234567890
2026-10-20,nip transfer commission 290021010 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539625,0234567890
2026-10-21,nip transfer commission 290021011 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539575,0234567890
2026-10-22,nip transfer commission 290021012 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539525,0234567890
2026-10-23,nip transfer commission 290021013 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539475,0234567890
2026-10-24,nip transfer commission 290021014 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,214539425,0234567890
2026-10-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,214497023,0234567890
2026-10-27,sms alert charge for 10/2026,,200,,214496823,0234567890
2026-10-28,account maintenance fee 10/2026,,1761,,214495062,0234567890
2026-10-28,value added tax from corporate branch,,132,,214494930,0234567890
2026-10-29,outward transfer (n) 8810 to first bank | bigco logistics services /000023,,1200000,,213294930,0234567890
2026-11-03,inward transfer (n) 496211 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_11/000015260409115119000002024421,,,23575000,236869930,0234567890
2026-11-06,outward transfer (n) 15122111 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122111,,500000,,236369930,0234567890
2026-11-06,nip transfer commission 15122111 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,236369880,0234567890
2026-11-06,stamp duty 15122111 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,236369830,0234567890
2026-11-06,vat on nip transfer fee 15122111 to guaranty trust bank plc,,4,,236369826,0234567890
2026-11-07,outward transfer (n) 15122112 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122112,,500000,,235869826,0234567890
2026-11-07,nip transfer commission 15122112 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235869776,0234567890
2026-11-07,stamp duty 15122112 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235869726,0234567890
2026-11-07,vat on nip transfer fee 15122112 to guaranty trust bank plc,,4,,235869722,0234567890
2026-11-08,outward transfer (n) 15122113 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122113,,500000,,235369722,0234567890
2026-11-08,nip transfer commission 15122113 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369672,0234567890
2026-11-08,stamp duty 15122113 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369622,0234567890
2026-11-08,vat on nip transfer fee 15122113 to guaranty trust bank plc,,4,,235369618,0234567890
2026-11-11,nip transfer commission 29002111 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369568,0234567890
2026-11-12,nip transfer commission 29002112 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369518,0234567890
2026-11-13,nip transfer commission 29002113 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369468,0234567890
2026-11-14,nip transfer commission 29002114 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369418,0234567890
2026-11-15,nip transfer commission 29002115 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369368,0234567890
2026-11-16,nip transfer commission 29002116 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369318,0234567890
2026-11-17,nip transfer commission 29002117 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369268,0234567890
2026-11-18,nip transfer commission 29002118 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369218,0234567890
2026-11-19,nip transfer commission 29002119 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369168,0234567890
2026-11-20,nip transfer commission 290021110 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369118,0234567890
2026-11-21,nip transfer commission 290021111 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369068,0234567890
2026-11-22,nip transfer commission 290021112 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235369018,0234567890
2026-11-23,nip transfer commission 290021113 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235368968,0234567890
2026-11-24,nip transfer commission 290021114 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,235368918,0234567890
2026-11-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,235326516,0234567890
2026-11-27,sms alert charge for 11/2026,,200,,235326316,0234567890
2026-11-28,account maintenance fee 11/2026,,1761,,235324555,0234567890
2026-11-28,value added tax from corporate branch,,132,,235324423,0234567890
2026-11-29,outward transfer (n) 8811 to first bank | bigco logistics services /000023,,1200000,,234124423,0234567890
2026-12-03,inward transfer (n) 496212 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_12/000015260409115119000002024421,,,23575000,257699423,0234567890
2026-12-06,outward transfer (n) 15122121 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122121,,500000,,257199423,0234567890
2026-12-06,nip transfer commission 15122121 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,257199373,0234567890
2026-12-06,stamp duty 15122121 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,257199323,0234567890
2026-12-06,vat on nip transfer fee 15122121 to guaranty trust bank plc,,4,,257199319,0234567890
2026-12-07,outward transfer (n) 15122122 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122122,,500000,,256699319,0234567890
2026-12-07,nip transfer commission 15122122 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256699269,0234567890
2026-12-07,stamp duty 15122122 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256699219,0234567890
2026-12-07,vat on nip transfer fee 15122122 to guaranty trust bank plc,,4,,256699215,0234567890
2026-12-08,outward transfer (n) 15122123 to access bank nigeria ltd | nnamdi chinedu okeke /0000232604102056380022085315122123,,500000,,256199215,0234567890
2026-12-08,nip transfer commission 15122123 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256199165,0234567890
2026-12-08,stamp duty 15122123 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256199115,0234567890
2026-12-08,vat on nip transfer fee 15122123 to guaranty trust bank plc,,4,,256199111,0234567890
2026-12-11,nip transfer commission 29002121 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256199061,0234567890
2026-12-12,nip transfer commission 29002122 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256199011,0234567890
2026-12-13,nip transfer commission 29002123 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198961,0234567890
2026-12-14,nip transfer commission 29002124 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198911,0234567890
2026-12-15,nip transfer commission 29002125 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198861,0234567890
2026-12-16,nip transfer commission 29002126 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198811,0234567890
2026-12-17,nip transfer commission 29002127 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198761,0234567890
2026-12-18,nip transfer commission 29002128 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198711,0234567890
2026-12-19,nip transfer commission 29002129 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198661,0234567890
2026-12-20,nip transfer commission 290021210 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198611,0234567890
2026-12-21,nip transfer commission 290021211 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198561,0234567890
2026-12-22,nip transfer commission 290021212 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198511,0234567890
2026-12-23,nip transfer commission 290021213 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198461,0234567890
2026-12-24,nip transfer commission 290021214 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,256198411,0234567890
2026-12-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,256156009,0234567890
2026-12-27,sms alert charge for 12/2026,,200,,256155809,0234567890
2026-12-28,account maintenance fee 12/2026,,1761,,256154048,0234567890
2026-12-28,value added tax from corporate branch,,132,,256153916,0234567890
2026-12-29,outward transfer (n) 8812 to first bank | bigco logistics services /000023,,1200000,,254953916,0234567890
